0x8043,0x8052,0x60,0x9C
0x804A,0x7FE3,0x8C,0x8C
0x800C,0x7F4E,0x80,0x95
0x7FA7,0x7FAE,0x83,0xA6
0x8059,0x7FFB,0x95,0x90
0x7FD2,0x7FBF,0x81,0x7D
0x7FBD,0x8056,0x78,0x9D
0x8044,0x7F9A,0x84,0xA4
0x7FEC,0x7F92,0x7F,0x6D
0x7F1B,0x8007,0x8E,0x85
0x7FA4,0x7F1C,0x6F,0xB2
0x8005,0x802F,0x96,0x90
0x800C,0x7FCE,0x7C,0x72
0x8046,0x8045,0x7C,0x83
0x7FB7,0x8068,0x60,0x7C
0x802A,0x7FFC,0x8F,0x9D
0x7F65,0x7FBC,0x79,0x9C
0x804E,0x7FC4,0x81,0x9B
0x8051,0x8075,0xA1,0x94
0x7FA2,0x7FB9,0x88,0x93
0x8047,0x7FC7,0x8E,0x70
0x8034,0x7FA3,0x66,0x7B
0x7FDD,0x7FE1,0x86,0xA3
0x7FDF,0x7F58,0x96,0xA0
0x7F98,0x7FB4,0x9E,0x90
0x8075,0x7F7A,0x74,0x95
0x8039,0x8008,0x69,0x83
0x7F71,0x7FF1,0x94,0x93
0x807B,0x7F79,0x71,0x84
0x7FC9,0x7EEE,0x92,0xA3
0x7FC1,0x804B,0x66,0x6B
0x7FF2,0x800D,0x75,0x9D
0x7FDA,0x802F,0x9F,0x83
0x7F9C,0x804C,0x9A,0xA7
0x808E,0x7FFC,0x6B,0x89
0x805C,0x7FDC,0x80,0x9A
0x80AA,0x7FBB,0x83,0x80
0x7F94,0x8076,0x82,0x6E
0x7FC1,0x7FA7,0xA5,0x82
0x7FCC,0x7FC9,0x83,0x6A
0x7F90,0x7F7C,0x8A,0x96
0x80CE,0x7FA0,0x7B,0x53
0x7F64,0x7F20,0x8B,0xB3
0x80CB,0x7F01,0x74,0x9E
0x7FB4,0x7FDA,0x96,0x7E
0x7F5D,0x7FCC,0x8F,0x81
0x7FF3,0x7FE3,0x67,0x5A
0x7F85,0x801E,0x7F,0x7B
